Title,Acronym,DblpSeries,has CORE2023 Rank,Field,field_of_research_1,field_of_research_2,field_of_research_3
Extending Database Technology,EDBT,edbt,A,"Data management and data science, , ",Data management and data science,,
Eye Tracking Research and Applications,ETRA,etra,B,"Human-centred computing, Graphics, augmented reality and games, Computer vision and multimedia computation",Human-centred computing,"Graphics, augmented reality and games",Computer vision and multimedia computation
Field Programmable Logic and Applications,FPL,fpl,TBR,"CSE - Computer Systems Engineering, , ",CSE - Computer Systems Engineering,,
Financial Cryptography and Data Security Conference,FC,fc,A,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Flexible Query-Answering Systems,FQAS,fqas,C,"Data management and data science, , ",Data management and data science,,
Florida Artificial Intelligence Research Society Conference,FlAIRS,N/A,National: USA,"Artificial intelligence, , ",Artificial intelligence,,
Formal Methods in Computer-Aided Design,FMCAD,fmcad,B,"Software engineering, , ",Software engineering,,
Forum on Specification and Design Languages,FDL,fdl,C,"Software engineering, , ",Software engineering,,
Foundations of Genetic Algorithms,FOGA,foga,A,"Artificial intelligence, , ",Artificial intelligence,,
Foundations of Software Science and Computational Structures,FOSSACS,fossacs,A,"Theory of computation, Software engineering, ",Theory of computation,Software engineering,
Foundations of Software Technology and Theoretical Computer Science,FST&TCS,fsttcs,National: India,"Theory of computation, , ",Theory of computation,,
Frontiers in Education,FIE,fie,C,"Human-centred computing, , ",Human-centred computing,,
Fundamental Approaches to Software Engineering,FASE,fase,B,"Software engineering, , ",Software engineering,,
Genetic and Evolutionary Computations,GECCO,gecco,A,"Artificial intelligence, , ",Artificial intelligence,,
Geometry Modeling and Processing,GMP,N/A,C,"Theory of computation, Graphics, augmented reality and games, ",Theory of computation,"Graphics, augmented reality and games",
"GI International Conference on Detection of Intrusions and Malware, and Vulnerability Assessment",DIMVA,dimva,C,"Cybersecurity and privacy, , ",Cybersecurity and privacy,,
Graph Drawing,GD,gd,A,"Theory of computation, , ",Theory of computation,,
Graphics Interface,GI,graphicsinterface,B,"Graphics, augmented reality and games, Human-centred computing, ","Graphics, augmented reality and games",Human-centred computing,
Haskell Workshop,HASKELL,haskell,C,"Software engineering, , ",Software engineering,,
HCist - International Conference on Health and Social Care Information Systems and Technologies,HCist,N/A,Unranked,"Applied computing, , ",Applied computing,,
Health Informatics Conference,HIC,N/A,Australasian C,"Applied computing, , ",Applied computing,,
Heterogeneity in Computing Workshop,HCW,N/A,C,"Distributed computing and systems software, , ",Distributed computing and systems software,,
